customer_id,recency_days,frequency,monetary_value,tenure_month,visits_per_month
CUST00001,5,26,3977302,35,9.8
CUST00002,93,6,463256,20,0.1
CUST00003,50,8,2161892,9,5.4
CUST00004,79,1,388724,11,2.7
CUST00005,75,16,1001099,36,1.0
CUST00006,23,11,1363660,23,3.3
CUST00007,40,10,1770990,9,8.1
CUST00008,30,19,3303286,34,8.4
CUST00009,21,10,1365663,31,4.8
CUST00010,28,8,1150355,22,2.2
CUST00011,91,2,679929,18,2.8
CUST00012,68,20,1351697,36,0.1
CUST00013,42,11,1427581,14,6.2
CUST00014,10,20,3473324,61,8.1
CUST00015,50,12,1763208,32,3.2
CUST00016,86,16,2139645,44,1.5
CUST00017,11,27,3881121,53,7.7
CUST00018,48,9,1850199,28,5.1
CUST00019,63,16,1642273,53,1.2
CUST00020,9,28,3667135,51,7.3
CUST00021,126,3,693736,2,0.3
CUST00022,85,12,2107419,31,2.7
CUST00023,13,24,4427154,31,10.6
CUST00024,28,15,574356,22,3.2
CUST00025,88,13,954629,49,2.6
CUST00026,10,27,4689061,34,3.7
CUST00027,47,12,1257327,27,5.1
CUST00028,75,9,363241,19,2.6
CUST00029,81,6,591939,18,1.1
CUST00030,53,14,1188128,29,3.8
CUST00031,9,23,4405406,22,11.1
CUST00032,30,15,1045632,14,4.7
CUST00033,54,12,1846812,7,5.4
CUST00034,29,7,1366522,11,4.3
CUST00035,50,10,1584110,18,2.7
CUST00036,110,8,1766506,53,3.7
CUST00037,163,6,572701,11,0.8
CUST00038,18,7,2181752,24,5.9
CUST00039,84,5,445758,21,1.1
CUST00040,42,9,1758549,7,4.0
CUST00041,54,15,1574361,33,6.0
CUST00042,45,10,1842487,22,4.0
CUST00043,134,6,506297,2,2.2
CUST00044,46,11,1439085,32,5.2
CUST00045,32,15,1173744,31,3.6
CUST00046,137,3,249174,4,2.6
CUST00047,22,8,1371439,24,4.1
CUST00048,101,15,1838304,46,2.8
CUST00049,14,17,2934745,25,8.1
CUST00050,49,6,680460,17,1.1
CUST00051,43,11,1388559,33,3.2
CUST00052,52,12,1029995,27,4.9
CUST00053,112,6,523730,11,3.0
CUST00054,75,8,1407777,11,3.0
CUST00055,26,11,2033352,35,2.7
CUST00056,6,25,3302713,53,12.2
CUST00057,11,22,4845562,24,8.2
CUST00058,90,4,642690,9,1.6
